日本語,ひらがな,ローマ字
お疲れさまです,おつかれさまです,otsukaresamadesu
お世話になっております,おせわになっております,osewaninatteorimasu
よろしくお願いいたします,よろしくおねがいいたします,yoroshikuonegaishimasu
ご確認お願いいたします,ごかくにんおねがいいたします,gokakuninnegaishimasu
承知いたしました,しょうちいたしました,shouchiitashimashita
かしこまりました,かしこまりました,kashikomarimashita
ご連絡ありがとうございます,ごれんらくありがとうございます,gorenrakuarigatougozaimasu
ご対応ありがとうございます,ごたいおうありがとうございます,gotaiouarigatougozaimasu
ご返信ありがとうございます,ごへんしんありがとうございます,gohenshinnarigatougozaimasu
引き続きよろしくお願いいたします,ひきつづきよろしくおねがいいたします,hikitsuzukiyoroshikuonegaishimasu
本日はよろしくお願いいたします,ほんじつはよろしくおねがいいたします,honjitsuhayoroshikuonegaishimasu
以上よろしくお願いいたします,いじょうよろしくおねがいいたします,ijouyoroshikuonegaishimasu
ご検討お願いいたします,ごけんとうおねがいいたします,gokentouonegaishimasu
ご教示ください,ごきょうじください,gokyoujikudasai
お手数おかけします,おてすうおかけします,otesuuokakeshimasu
お手数おかけいたします,おてすうおかけいたします,otesuuokakeitashimasu
お忙しいところ失礼いたします,おいそがしいところしつれいいたします,oisogashiitokoroshitsureiitashimasu
お時間いただきありがとうございます,おじかんいただきありがとうございます,ojikannitadakiarigatougozaimasu
ご確認のほどよろしくお願いいたします,ごかくにんのほどよろしくおねがいいたします,gokakuninnnohodayoroshikuonegaishimasu
ご査収ください,ごさしゅうください,gosashuukudasai
ご笑納ください,ごしょうのうください,goshounoukudasai
お大事になさってください,おだいじになさってください,odaijinasattekudasai
お気をつけてお越しください,おきをつけておこしください,okiotsuketeokoshikudasai
ご無沙汰しております,ごぶさたしております,gobusatatshiteorimasu
ご連絡お待ちしております,ごれんらくおまちしております,gorenrakuomachishiteorimasu
ご協力ありがとうございます,ごきょうりょくありがとうございます,gokyouryokuarigatougozaimasu
ご参加ありがとうございます,ごさんかありがとうございます,gosankaarigatougozaimasu
取り急ぎご連絡まで,とりいそぎごれんらくまで,toriisogigorenrakumade
先ほどの件ですが,さきほどのけんですが,sakihodonokennndesuga
念のためご連絡いたします,ねんのためごれんらくいたします,nennnotamegorenrakuitashimasu
追加で情報いただけますと幸いです,ついかでじょうほういただけますとさいわいです,tsuikadejouhouitadakemasutosaiwaidesu
本件ご対応可能でしょうか,ほんけんごたいおうかのうでしょうか,honkengotaioukanoudeshouka
こちらの認識で相違ないでしょうか,こちらのにんしきでそういないでしょうか,kochiranoninshikidesouinaideshouka
再現手順を共有いたします,さいげんてじゅんをきょうゆういたします,saigentejunnwokyouyuitashimasu
本番環境にて事象を確認しました,ほんばんかんきょうにてじしょうをかくにんしました,honbankankyounitejishouwokakuninnshimashita
スケジュール再調整のお願い,すけじゅーるさいちょうせいのおねがい,sukeju-rusaichouseinoonegai
仕様変更のご相談です,しようへんこうのごそうだんです,shiyouhenkounogosoudandesu
進捗をご共有いただけますと幸いです,しんちょくをごきょうゆういただけますとさいわいです,shinchokuwokyouyuitadakemasutosaiwaidesu
本件クローズで問題ないでしょうか,ほんけんくろーずでもんだいないでしょうか,honkenkuro-zudemondainaiでしょうか
念のためご共有いたします,ねんのためごきょうゆういたします,nennnotamegokyouyuitashimasu
ご対応のほどよろしくお願いいたします,ごたいおうのほどよろしくおねがいいたします,gotaiounohodayoroshikuonegaishimasu
ご報告いたします,ごほうこくいたします,gohoukokuitashimasu
ご相談させてください,ごそうだんさせてください,gosoudansasetekudasai
ご指摘ありがとうございます,ごしてきありがとうございます,goshitekiarigatougozaimasu
ご指導よろしくお願いいたします,ごしどうよろしくおねがいいたします,goshidouyoroshikuonegaishimasu
お知らせいたします,おしらせいたします,oshiraseitashimasu
ご案内いたします,ごあんないいたします,goannaiitashimasu
以上ご査収ください,いじょうごさしゅうください,ijougosashuukudasai
