日本語,ひらがな,ローマ字
ご連絡ありがとうございます,ごれんらくありがとうございます,gorenrakuarigatougozaimasu
ご返信ありがとうございます,ごへんしんありがとうございます,gohenshinnarigatougozaimasu
お忙しいところ失礼いたします,おいそがしいところしつれいいたします,oisogashiitokoroshitsureiitashimasu
ご確認のほどよろしくお願いいたします,ごかくにんのほどよろしくおねがいいたします,gokakuninnnohodayoroshikuonegaishimasu
資料をご共有いたします,しりょうをごきょうゆういたします,shiryouwogokyouyuitashimasu
本件につきましてご連絡いたします,ほんけんにつきましてごれんらくいたします,honkennitsukimashitegorenrakuitashimasu
ご対応いただきありがとうございます,ごたいおういただきありがとうございます,gotaiouitadakiarigatougozaimasu
お手数おかけいたします,おてすうおかけいたします,otesuuokakeitashimasu
ご確認いただけますと幸いです,ごかくにんいただけますとさいわいです,gokakuninitadakemasutosaiwaidesu
ご教示いただけますでしょうか,ごきょうじいただけますでしょうか,gokyoujiitadakemasudeshouka
念のためご連絡いたしました,ねんのためごれんらくいたしました,nennnotamegorenrakuitashimashita
ご査収ください,ごさしゅうください,gosashuukudasai
ご笑納ください,ごしょうのうください,goshounoukudasai
ご確認のほどお願い申し上げます,ごかくにんのほどおねがいもうしあげます,gokakuninnnohodoonegaimoushiagemasu
ご対応のほどよろしくお願いいたします,ごたいおうのほどよろしくおねがいいたします,gotaiounohodayoroshikuonegaishimasu
本件ご共有いたします,ほんけんごきょうゆういたします,honkengokyouyuitashimasu
取り急ぎご連絡まで,とりいそぎごれんらくまで,toriisogigorenrakumade
ご確認いただきありがとうございます,ごかくにんいただきありがとうございます,gokakuninitadakiarigatougozaimasu
ご返信お待ちしております,ごへんしんおまちしております,gohenshinomachishiteorimasu
以上ご査収ください,いじょうごさしゅうください,ijougosashuukudasai
